"aba, Aphis"
"dracunculi, Macrosiphoniella, Titanosiphon"
"dracunculum, Cryptosiphum"
"drakontos, Eulachnus see thunbergii"
"droserae, Aphis"
"dryasae, Acyrthosiphon"
"dryopterae, Rhopalosiphum"
"dryopteridis, Macrosiphum"
"dubia, Schizaphis"
"duckmountainensis, Aphis"
"dudichi, Protaphis"
"dulciculus, Chaitophorus see pakistanicus"
"dunlopi, Longicaudus"
"duponti, Pleotrichophorus"
"dyslycialis, Myzus persicae ssp."
"dzhetisuensis, Nasonovia"
"dzhibladzeae, Illinoia, Macrosiphum"
"dzhungarica, Macropodaphis"
"dzhungaricum, Uroleucon"
"ecballii, Aphis"
"echinaceae, Protaphis"
"echinatum, Uroleucon"
"echinochlorophaga, Pemphigus"
"echinocysti, Macrosiphum"
echinopis. Protaphis
"echinopsicola, Aphis see echinopis"
"echinospartii, Acyrthosiphon"
"edrossi, Macrosiphum"
"egomae, Aphis"
"elatinoidei, Aphis"
"elatior, Protaphis"
"elena, Aphis"
"elenae, Macrosiphoniella"
"elephantopicola, Uroleucon"
"eliei, Micromyzella"
"elizabethae, Melanaphis"
"elliptici, Acyrthosiphon rubi ssp."
"elongatum, Eutrichosiphum see Mollitrichosiphum niitakaensis"
"elongatus, Pleotrichophorus"
"elsholtriae, Kaltenbachiella"
"elsholtze, Cryptomyzus, Rhopalosiphoninus"
"emicis, Dysaphis"
"empetri, Wahlgreniella"
"enigmae, Rhopalosiphum"
"eniwanus, Capitophorus"
"ensifoliae, Uroleucon"
"enslini, Metopeurum"
"ephedrae, Ephedraphis"
"epilobiaria, Aphis"
"epilobiellum, Macrosiphum see tinctum"
"epilobii, Aphis, Uroleucon"
"epipactis, Aphis"
"equiseti, Anoecia, Macrosiphum"
"equiseticola, Aphis"
"eremuri, Dysaphis"
"ericae, Ericaphis"
"ericetorum, Acyrthosiphon"
"erigeronense, Uroleucon"
"erigeronensis, Prociphilus"
"erigeronis, Macrosiphoniella"
"erigerontis, Acuticauda, Aphis"
"eriogoni, Braggia"
"eriophori, Ceruraphis, Schizaphis scirpi ssp."
"eriosomatinum, Xerobion"
"eryngii, Helosiphon"
"eryngiiglomerata, Aphis"
"erysimi, Lipaphis, Pseudobrevicoryne"
"erythraea, Macrosiphoniella"
"esakii, Aulacorthum"
"escalantii, Uroleucon see erigeronense"
"esulae, Aphis"
"eteriae, Xerobion"
"euclypteata, Nietonafriella"
"eucollinae, Aphis"
"eulophiae, Sitobion"
"eumadiae, Uroleucon"
"euonymi, Aphis see evonymi"
"eupatoricolens, Uroleucon"
"eupatorifoliae, Uroleucon"
"eupatorii, Aphis, Macrosiphum see Uroleucon eupatorifoliae"
"euphorbiae, Acyrthosiphon, Aphis, Eonaphis, Macrosiphum, Trama"
"euphorbicola, Aphis"
"euphorbiellum, Macrosiphum"
"euphorbophagum, Aulacorthum"
"eurotiae, Brachycaudus"
"euryae, Ericolophium"
"eurymelaina, Iziphya"
"evansi, Eastopiella see Protaphis, Protaphis, Uroleucon compositae ssp."
"evelaeagni, Capitophorus see elaeagni"
"exsors, Aphis"
"extremiorientale, Acyrthosiphon"
"fagopyri, Anaulacorthum, Macrosiphum, Uroleucon"
"farsiana, Bicaudella"
"fatauae, Pemphigus"
"fataunae, Myzus"
"femorata, Macrosiphoniella"
"ferganica, Hyadaphis"
"ferulae, Anuraphis, Hyadaphis see galaganiae"
"festucae, Metopolophium"
"filaginea, Protaphis"
"filaginis, Pemphigus see populinigrae, Pleotrichophorus"
"filicis, Micromyzella, Myzus, Taiwanomyzus"
"filicium, Micromyzodium"
"filifoliae, Aphis, Pleotrichophorus"
"filipendulae, Aphis, Amphorophora"
"fimbriata, Ericaphis"
"flabella, Iziphya"
"flavescens, Protrama"
"flavidus, Brachyunguis see harmalae"
"floricola, Uroleucon"
"floridae, Macrosiphum"
"floridensis, Carolinaia"
"fluvialis, Aphis"
"foeniculi, Hyadaphis"
"foeniculivora, Aphis"
"foeniculus, Dysaphis"
"foliotus, Trichosiphonaphis see Loniceraphis paradoxa"
"folsomii, Aphis"
"forbesi, Aphis, Amphorophora"
"formicella, Trama see caudata"
"formosanum, Uroleucon"
"formosanus, Myzus, Periphyllus, Prociphilus"
"forsythiae, Amphicercidus, Trichosiphonaphis see polygonifoliae"
"foxtonensis, Allaphis"
"fragaefolii, Chaetosiphon"
"fragariaevescae, Acyrthosiphon"
"fragaricola, Hyalomyzus"
"fragilis, Polytrichaphis"
"fragum, Acyrthosiphon"
"franzi, Aphis, Defractosiphon, Neosappaphis"
"fraserae, Aphis"
"fraterna, Brevicoryne"
"frequens, Diuraphis"
"frigidae, Epameibaphis, Macrosiphoniella, Obtusicauda"
"frigidicola, Macrosiphoniella"
"frigidivora, Macrosiphoniella"
"frigidus, Chaitophorus see populeti"
"frisicum, Metopolophium"
"frisoni, Iowana, Myzocallis"
"fronki, Hyperomyzus see petiolaris"
"frutex, Therioaphis tenera ssp."
"fuchuense, Uroleucon"
"fueginus, Pentamyzus"
"fuentesi, Aphis"
"fukii, Aphis"
"fulvae, Catamergus"
"fumanae, Aphis"
"funestum, Macrosiphum"
"fungifera, Nevskya"
"funicularis, Aphis see Protaphis picridicola"
"funitecta, Adelges see tsugae, Aphis"
"furcata, Anoecia"
"fuscicornis, Macrosiphum, Pemphigus"
"fuscoviride, Metopeurum"
"galaganiae, Hyadaphis"
"galatellae, Macrosiphoniella"
"galeopsidis, Cryptomyzus"
